period,CPIM.SE1041F,CPIM.SE2041F,CPIM.SE3041F,CPIM.SE5041F,CPIM.SE6041F,CPIM.SE9041F,CPIM.SE9041S
2017-01-01,0.043206668676576854,0.05254160224413488,0.04808071464884963,-0.004223580731222236,0.04071393263632883,0.03803273375423063,0.03412372978376236
2017-02-01,0.044533656503293294,0.05326572922906377,0.05395194793376038,-0.01894099347351493,0.048629110772318684,0.03987673302536806,0.03375744858445303
2017-03-01,0.04478042806784588,0.06121956881288241,0.053932512501713825,-0.02944811954075266,0.05249097291040764,0.042652686938366914,0.03364476425890054
2017-04-01,0.04258161182769523,0.07626611023844328,0.05432099122646269,-0.03458811305283919,0.05455116701560055,0.04294654088168396,0.0335269158269064
2017-05-01,0.038312929077061186,0.08831463143239178,0.0531089447167458,-0.018716143660300204,0.05012219718574299,0.04365105184670918,0.033677139641374275
2017-06-01,0.0356008479885761,0.08827632480425063,0.05577804336395661,-0.016780654684252456,0.046434774117021606,0.041870898796307676,0.03358350806403965
2017-07-01,0.032540101527313535,0.08025008452981523,0.05609768251245092,-0.0049059553095531045,0.03155499551296311,0.04011408889400592,0.033500841651384373
2017-08-01,0.029964504954186937,0.06545383921419923,0.054210985996020034,-0.0026723339673252098,0.021100100496142193,0.03569623905040453,0.03291118705254573
2017-09-01,0.02489780275249605,0.06743478869000115,0.05111060440151002,0.008678530470687193,0.03128953242806635,0.03452943387349531,0.03232305638892748
2017-10-01,0.02150955600074485,0.06476793156141751,0.049383630717299454,1.06232938535659e-4,0.03405418581398593,0.03138566510472655,0.03199415389232244
2017-11-01,0.016020438760904126,0.06905693050022192,0.04498173809635849,-0.003781665044401583,0.047268284252504435,0.02904883711926994,0.03216981053330348
2017-12-01,0.021905446063076095,0.07457197420794019,0.047343500963246056,-0.015205091359111892,0.03742248034526489,0.0306136863829171,0.03233723040622557
2018-01-01,0.026994460195816306,0.07847965040514511,0.043866458696690445,-0.01364794842764594,0.041123745203554586,0.03420157659871433,0.03250445518788051
2018-02-01,0.0230057698281901,0.07950460584186521,0.04968212810900866,-0.006552949970658768,0.051990923341728314,0.0357168839455552,0.03240873538584651
2018-03-01,0.020961990084068,0.0595049499204093,0.05687371142913059,0.0021181469009268206,0.070915288379225,0.036576346792796643,0.0320618804738515
2018-04-01,0.020110564350272215,0.047410072392330894,0.06073860615661012,0.010851946706173102,0.07094820060725919,0.03637811232717018,0.03195151273247898
2018-05-01,0.02703008895234915,0.03318243011590812,0.062127937856087945,0.013372738160874587,0.06476540216149289,0.03775542334572705,0.0318497016703155
2018-06-01,0.022438725071141457,0.04864466241945542,0.05823155251640366,0.01668735392400052,0.05945707431442012,0.037303084963468645,0.03200789877541458
2018-07-01,0.020917687515684975,0.05027265491067726,0.059994572065638074,0.01518819179290524,0.05515782015188253,0.03662971333661721,0.031930434709498266
2018-08-01,0.01856368338309644,0.06844278661848706,0.05633123171774076,0.012924410190125654,0.0556264371398704,0.0363822188761859,0.03186107054764853
2018-09-01,0.027677260791976337,0.06145454596618801,0.06029118427427697,0.006675808746226863,0.04267990153689749,0.03835605681240817,0.03203233394482371
2018-10-01,0.02900159710704135,0.07251335737827984,0.06088630768745965,0.015110919655863198,0.037949713346071924,0.04156675230027903,0.032443185567652875
2018-11-01,0.031988533574011026,0.06576429591963888,0.07154337876561583,0.01989900944520029,0.036359915961804434,0.045542168349185896,0.03212804470798177
2018-12-01,0.0271094421073097,0.06924017770712254,0.07173352483962218,0.029687099238974318,0.039364247078744606,0.04678340733414177,0.031327642856743054
2019-01-01,0.02695506923321715,0.06854195976964084,0.07289462180379373,0.026954823678190982,0.04635858579790867,0.04678672777089873,0.03052725532950573
2019-02-01,0.030220539524316248,0.07880219819496086,0.06730289513624976,0.026249833171873165,0.041574858595772625,0.04736711696917414,0.030913656984502175
2019-03-01,0.029438509226435833,0.09431847367066837,0.06053216062248793,0.03299967867088727,0.0430604034623551,0.04642760021272981,0.03177405532458274
2019-04-01,0.024655452757277836,0.0946681055582382,0.05796232746697146,0.033847758466335476,0.052297898582696956,0.044361854374164476,0.03237954576595518
2019-05-01,0.01942458253909766,0.08891665101220592,0.05656905418049959,0.03702003762690157,0.05594182626520672,0.04052846008126335,0.03251671420177719
2019-06-01,0.019075902751044094,0.06752862968457836,0.062210199527527266,0.028378324654401377,0.06553880719686915,0.03803342611996641,0.03265935617043588
2019-07-01,0.02385895922020209,0.0654606972598805,0.0663416329476636,0.023988444019855077,0.06562224461542036,0.039491809272356924,0.03305114837178732
2019-08-01,0.018699102505257192,0.05800574363317076,0.07021806801822132,0.024494377105016413,0.078032054845571,0.04041261958543241,0.03321647172452521
2019-09-01,0.007720800236695709,0.05916997855855133,0.06522285837699397,0.0183109660089249,0.07196925291320382,0.03518795473653443,0.032906760273451775
2019-10-01,0.00829865410006799,0.056047383645442116,0.05996986891726882,0.020366979135549485,0.06799288964514649,0.03583218263396278,0.032124372549266665
2019-11-01,0.01518005004934364,0.0503578741009858,0.05243207591283191,0.01288286378853091,0.049878157134440215,0.033795390256670776,0.032519589787170844
2019-12-01,0.01957108795474823,0.03923065856399551,0.05441944064193738,0.021446568240268693,0.04979992100357252,0.03970313849570739,0.03361751033341539
2020-01-01,0.012405493808359388,0.02715072433266689,0.05409647200330584,0.01403384705423331,0.05184570381620198,0.0325464459075692,0.03517552132629861
2020-02-01,0.006772253644336128,0.02574983839689719,0.05004628064979092,0.01524713085584691,0.040801805860231743,0.02784916365950944,0.03529558026548596
2020-03-01,0.0028365930638658186,0.010690326445043419,0.05252740123279328,-0.006363133683340479,0.033792772535408945,0.015560252274377776,0.035165848885754615
2020-04-01,-0.0024196487232564325,0.004802880557597515,0.054503999176376126,-0.00659987610758291,-0.014586646517765126,0.007076759970136311,0.03456986705466836
2020-05-01,-0.007217325637592624,-0.0021326033133702107,0.061938377995256255,-0.01820571702205065,-0.04708072315383912,6.635735163767661e-4,0.03423256878091108
2020-06-01,-0.0032780126558583644,0.014073134603404128,0.05901392387319734,0.005967083685103606,-0.07835829727231021,0.004466165421964948,0.033448507709239385
2020-07-01,-0.006563163772809744,0.011262784220238223,0.05438655473171705,0.01147581268974381,-0.05969170965448541,0.003357126400744851,0.03267668656914665
2020-08-01,-0.004359954054912851,0.017229076820345912,0.05390026843012611,0.01878368633425113,-0.040031890789895185,0.005565796002114376,0.03237511120422883
2020-09-01,-5.925239442590158e-4,0.01840193154287136,0.053570632496874916,0.02624227876735678,-0.03940909190090621,0.008666156652662496,0.0323087878835675
2020-10-01,0.004457507058465815,0.030138987404466855,0.059537079271380966,0.01278315768403504,-0.03400738074717957,0.013262224756250163,0.032476408551730694
2020-11-01,0.0022742596318007604,0.036704939118634705,0.06965819776487292,0.01416753981972759,-0.022991070571373617,0.015419282710212793,0.03194747941272332
2020-12-01,-6.221025163308802e-4,0.04990440183215964,0.0613877483374754,0.0029661785968461882,0.007431351726745768,0.01638382335758511,0.03140596540611562
2021-01-01,2.527141871429735e-5,0.04814325994387462,0.06323070128230657,0.03106429927920325,0.025323006792152675,0.022292522864897208,0.030629192232909164
2021-02-01,0.0011107442164134025,0.031886274057732665,0.06266828220554015,0.03083480121536808,0.03898735120178317,0.022460082329320914,0.03052607569238841
2021-03-01,0.0035319970105009237,0.03486594784103825,0.07192446121293668,0.04852404298607479,0.021228644607113194,0.024511909184297426,0.02997451001282851
2021-04-01,0.012360954122363377,0.05202390741162614,0.08122417282255712,0.04164314446359504,0.02507204695812641,0.030861140431473515,0.030316181486784794
2021-05-01,0.02160995949539979,0.06988939154826863,0.07846058797695384,0.061859678109048945,0.05210115819776395,0.04203101995837696,0.030448633916120738
2021-06-01,0.027567125795556535,0.06278419310995205,0.08467609197433583,0.049375653560471765,0.09165266725611554,0.047752159850038924,0.03148313824419816
2021-07-01,0.03055189455914631,0.0642182457067954,0.08317882576446618,0.05380251329677151,0.09855578825641091,0.05071933897959916,0.0318603428374152
2021-08-01,0.03549298427609041,0.0621373651224398,0.08938213760586138,0.05001621088198275,0.08260837024571914,0.06021145852225218,0.03223692582315015
2021-09-01,0.0356163421554776,0.07037080878168182,0.09148959222937443,0.058190147268449254,0.09413447126182979,0.06327297297460222,0.032610297308627224
2021-10-01,0.03791827518618892,0.06576538989922764,0.09527995829331955,0.07430634136200671,0.0883583771153446,0.06482002120427695,0.03341907612289637
2021-11-01,0.03525544906169461,0.0643745477573534,0.09178067330455808,0.08074767450585552,0.0954411263705081,0.058352213831492174,0.03487913702829415
2021-12-01,0.034818863163419124,0.0517679985203657,0.1008989512160298,0.0692135230656256,0.07504236747098059,0.05732834651690055,0.0358837720781621
2022-01-01,0.030282431502436664,0.05024659380320299,0.09432075177205042,0.04558733118093702,0.07381579542274859,0.05304906018109978,0.036442725540723885
2022-02-01,0.02802584300712548,0.0500982474804168,0.0991719071319875,0.05143598429200935,0.07320346774475868,0.052850545813002046,0.03654005308391232
2022-03-01,0.03317533956901153,0.05503262861943803,0.09191195840094135,0.06744042750358019,0.0750302162599638,0.0573729960648189,0.0375050037436262
2022-04-01,0.031141525993337565,0.051445389569102495,0.0861818801256841,0.09237719883169075,0.08600384910430041,0.059667969397551035,0.038014678398759306
2022-05-01,0.02853003108129319,0.052649483488428205,0.08226485388249245,0.09248046523217342,0.08036921628080622,0.057341073270598786,0.03897221905558775
2022-06-01,NA,NA,NA,NA,NA,NA,NA
